id,Група,Задача,Оцінка (год),Оцінка (год) факт,Результат / Критерій завершення,Дата початку спринта,Дата завершення спринта
1.1,Розробка,1.1: Адаптація eWallet для прямого поповнення,"19,5",,"Адміністратор може вручну поповнювати баланс, продаж продукту ""Поповнення"" автоматично зараховує кошти, всі операції фіксуються в історії.",,
1.2,Розробка,1.2: Створення Подарункових Карт,"14,5",,"Продаж карти створює loyalty.card з відповідним балансом, клієнт може оплатити замовлення в POS кодом картки.",,
1.3,Розробка,2.1: Створення моделі та інтерфейсу для Рівнів лояльності,11,,"В системі створено модель для рівнів лояльності, адміністратор може їх створювати та редагувати.",,
1.4,Розробка,2.2: Автоматичний перехід між рівнями,8,,"Рівень клієнта автоматично підвищується, коли його сума покупок (total_invoiced) досягає порогу, встановленого для наступного рівня.",,
1.5,Розробка,2.3: POS: Відображення рівня лояльності,"3,5",,В інтерфейсі POS поруч з іменем обраного клієнта видно його рівень лояльності.,,
1.6,Розробка,3.1: Нарахування бонусів з продажів,"6,5",,"При оплаті замовлення, на бонусну карту клієнта автоматично нараховується відсоток від суми, згідно з його рівнем лояльності.",,
1.7,Розробка,3.2: POS: Оплата бонусами,12,,"В POS додано кнопку оплати бонусами, яка дозволяє списати бонуси з карти клієнта для повної або часткової оплати замовлення.",,
1.8,Розробка,3.3: Ручне списання бонусів,5,,"Адміністратор може вручну змінити баланс бонусної карти клієнта через спеціальний візард, вказавши причину.",,
1.9,Розробка,"4.1: Створення моделі ""Сім'я""","17,5",,"Адміністратор може створювати сім'ї, при додаванні учасника його total_invoiced додається до голови сім'ї, а рівень лояльності всіх учасників оновлюється.",,
1.10,Розробка,5.1: Виведення історії операцій,"12,5",,"У картці клієнта є вкладка ""Історія транзакцій"", де відображаються всі операції з можливістю фільтрації.",,
1.11,Розробка,"6.1: Повернення товарів, куплених за бонуси","9,5",,"При поверненні товару системою автоматично списуються бонуси, нараховані за його покупку, та коректно зменшується total_invoiced.",,
1.12,Розробка,"7.1: Автоматичне списання ""згорілих"" бонусів","7,5",,"Щоденний крон автоматично списує бонуси, у яких вийшов термін дії.",,
1.13,Аналіз та ТЗ,Розробити технічну документацію на інтеграцію з ZKTeco(переробити документи інтеграції з СКД S-Meatronics),6,,"Детально описане технічне завдання, оцінене та готове до розробки",,
1.14,Дослідження,Технічне дослідження інтеграції з ZKBioTime API,12,,"Отримано реальні приклади відповідей від API, визначено структуру даних. Ризики для розробки усунені, є точна оцінка для Спринта 4.",,
Всього:,,,145,0,,15.09.2025,08.10.2025
